"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","demowebshop","0","Authentication","1","0","Registration","0"
"0","json-server","0","Comments","1","0","Get comments by post","0"
"0","","0","","4","0","","0"
"0","json-server","0","Posts","1","0","Delete post","0"
"0","json-server","0","Posts","1","0","Create post","0"
"0","json-server","0","Posts","1","0","Update post","0"
"0","json-server","0","Comments","1","0","Create comment","0"
"0","Demo Web Shop","0","Cart","1","0","","0"
"0","json-server","0","Posts","1","0","Partial update post","0"
"0","demowebshop","0","Authentication","1","0","Login","0"
"0","demowebshop","0","Search","1","0","Product search","0"
"0","json-server","0","Posts","1","0","Get all posts","0"
"0","demowebshop","0","Newsletter","1","0","Subscribe","0"
